Wall time,Step,mean episode length,mean reward
1732972661,1024,274.3333435,2
1732972929,2048,249.375,1.5
1732973188,3072,258.7272644,1.545454502
1732973457,4096,254.4666595,1.466666698
1732973716,5120,255.8500061,1.5
1732973988,6144,258.1304321,1.565217376
1732974250,7168,261.9259338,1.666666627
1732974526,8192,264.8666687,1.700000048
1732974793,9216,268.5882263,1.764705896
1732975061,10240,269,1.815789461
1732975328,11264,270.0487671,1.829268336
1732975603,12288,275.25,1.931818128
1732975869,13312,281.8297729,2.042553186
1732976135,14336,278.6078491,1.980392098
1732976412,15360,276.8727417,1.945454597
1732976680,16384,279.6379395,2
1732976956,17408,281.8852539,2.032786846
1732977226,18432,285.578125,2.09375
1732977503,19456,286.8208923,2.134328365
1732977771,20480,287.5,2.157142878
1732978046,21504,290.4383545,2.2191782
1732978313,22528,291.9869995,2.259740353
1732978584,23552,293.2875061,2.275000095
1732978863,24576,293.8072205,2.30120492
1732979132,25600,295.0232544,2.325581312
1732979399,26624,299.0898743,2.393258333
1732979668,27648,298.5869446,2.380434752
1732979934,28672,300.5851135,2.414893627
1732980201,29696,304.4536133,2.484536171
1732980469,30720,306.8599854,2.519999981
1732980738,31744,309.0499878,2.549999952
1732981006,32768,316.6000061,2.710000038
1732981284,33792,319.4899902,2.779999971
1732981552,34816,321.7900085,2.839999914
1732981822,35840,326.2399902,2.930000067
1732982091,36864,331.3699951,3.049999952
1732982360,37888,334.9200134,3.119999886
1732982631,38912,338.4700012,3.200000048
1732982900,39936,339.5,3.220000029
1732983169,40960,338.519989,3.210000038
1732983441,41984,341.6499939,3.25999999
1732983712,43008,343.519989,3.299999952
1732983981,44032,346.3900146,3.349999905
1732984249,45056,347.6799927,3.380000114
1732984519,46080,349.7799988,3.480000019
1732984791,47104,352.6400146,3.539999962
1732985060,48128,348.9899902,3.49000001
1732985327,49152,354.3900146,3.609999895
1732985598,50176,357.4299927,3.680000067
1732985867,51200,360.9599915,3.75999999
1732986136,52224,363.8900146,3.819999933
1732986405,53248,366.9400024,3.890000105
1732986674,54272,366.5499878,3.910000086
1732986945,55296,368.1799927,3.950000048
1732987215,56320,370.2399902,3.980000019
1732987483,57344,373.0299988,4.039999962
1732987752,58368,373.2999878,4.059999943
1732988019,59392,372.6700134,4.039999962
1732988288,60416,376.2900085,4.110000134
1732988557,61440,380.8299866,4.199999809
1732988824,62464,380,4.190000057
1732989092,63488,384.6000061,4.260000229
1732989359,64512,386.4200134,4.329999924
1732989628,65536,386.4100037,4.340000153
1732989898,66560,390.769989,4.440000057
1732990167,67584,390.8500061,4.449999809
1732990438,68608,392.1199951,4.489999771
1732990707,69632,390.5899963,4.5
1732990975,70656,393.7799988,4.570000172
1732991245,71680,390.4599915,4.5
1732991517,72704,390.8800049,4.5
1732991786,73728,394.019989,4.579999924
1732992055,74752,394.1700134,4.570000172
1732992328,75776,390.0299988,4.489999771
1732992600,76800,392.3599854,4.53000021
1732992871,77824,393.8099976,4.570000172
1732993142,78848,394.1700134,4.590000153
1732993413,79872,399.1000061,4.679999828
1732993684,80896,402.5599976,4.760000229
1732993955,81920,409.730011,4.900000095
1732994226,82944,408.8099976,4.920000076
1732994494,83968,408.1400146,4.929999828
1732994764,84992,411.5299988,5
1732995035,86016,414.0400085,5.050000191
1732995305,87040,416.8699951,5.099999905
1732995574,88064,417.7600098,5.079999924
1732995843,89088,417.8599854,5.090000153
1732996112,90112,421.8500061,5.170000076
1732996380,91136,423.25,5.179999828
1732996650,92160,426.3900146,5.25
1732996919,93184,428.1199951,5.269999981
1732997189,94208,427.6900024,5.269999981
1732997457,95232,427.5899963,5.28000021
1732997725,96256,427.730011,5.28000021
1732997994,97280,427.3699951,5.269999981
1732998265,98304,425.75,5.260000229
1732998535,99328,427.5599976,5.289999962
1732998806,100352,426.6600037,5.289999962
