Wall time,Step,mean episode length,mean reward
1733398340,2048,220.222229,0.777777791
1733398921,4096,232.7058868,1
1733399497,6144,220.2962952,0.777777791
1733400071,8192,231.1428528,0.971428573
1733400629,10240,235.5348816,1.069767475
1733401228,12288,240.0588226,1.176470637
1733401795,14336,240.3050842,1.186440706
1733402379,16384,246.8333282,1.303030252
1733402955,18432,253.7638855,1.444444418
1733403518,20480,255.8125,1.512500048
1733404079,22528,261.4588318,1.623529434
1733404637,24576,266.6956482,1.728260875
1733405197,26624,271.2371216,1.824742317
1733405767,28672,279.2399902,1.99000001
1733406336,30720,289.4500122,2.180000067
,1733406913
,32768,297.8800049,2.410000086
1733407488,34816,305.980011,2.599999905
1733408047,36864,315.8099976,2.809999943
1733408606,38912,323.6199951,3
1733409163,40960,330.2200012,3.160000086
1733409716,43008,338.5,3.329999924
1733410286,45056,343.1799927,3.440000057
1733410860,47104,349.3299866,3.589999914
1733411430,49152,358,3.789999962
1733412010,51200,364.0899963,3.920000076
1733412574,53248,369.0400085,4.039999962
1733413144,55296,373.6099854,4.139999866
1733413706,57344,383.0599976,4.329999924
1733414268,59392,389.730011,4.480000019
1733414837,61440,390.9599915,4.53000021
1733415414,63488,397.3099976,4.670000076
1733415993,65536,398.9100037,4.71999979
1733416559,67584,400.6700134,4.75
1733417131,69632,402.1300049,4.820000172
1733417697,71680,404.1000061,4.869999886
1733418264,73728,405.480011,4.849999905
1733418828,75776,412.2600098,4.949999809
1733419395,77824,411.5899963,4.940000057
1733419968,79872,417.7099915,5.03000021
1733420549,81920,423.3399963,5.159999847
1733421117,83968,429.480011,5.300000191
1733421688,86016,431.2399902,5.329999924
1733422260,88064,434.8200073,5.400000095
1733422831,90112,443.8999939,5.550000191
1733423403,92160,441.7799988,5.46999979
1733424023,94208,442.3399963,5.539999962
1733424621,96256,448.8599854,5.659999847
1733425212,98304,451.2900085,5.670000076
1733425822,100352,452.1199951,5.679999828
