r,l,t,episode
-51.199922,999,7.602684,1
-51.368122,999,8.509232,2
-54.763993,999,11.50816,3
-52.147114,999,12.652748,4
-53.777056,999,16.413559,5
-51.053797,999,17.32228,6
-52.794949,999,19.906044,7
-53.458526,999,20.8147,8
-53.562693,999,23.504755,9
-53.910524,999,24.91361,10
45.88073,995,28.571216,11
-53.938708,999,29.616881,12
58.409116,765,32.731886,13
-55.890378,999,33.62032,14
-59.314403,999,36.320946,15
-56.576294,999,37.220013,16
-58.299675,999,39.798074,17
-60.640739,999,40.730192,18
-61.256481,999,43.834149,19
37.778365,999,45.049279,20
-62.886712,999,48.565335,21
-62.287342,999,49.480191,22
-62.803624,999,52.148602,23
-65.211027,999,53.067518,24
-67.503067,999,55.799918,25
-66.835069,999,56.717373,26
-67.014839,999,59.88405,27
-69.622674,999,61.113968,28
-69.343822,999,64.473724,29
54.228306,651,65.018829,30
-70.784152,999,65.944958,31
-72.902713,999,68.614645,32
-70.758381,999,69.53216,33
35.729727,868,72.0739,34
-72.800514,999,73.006298,35
45.577322,702,76.139618,36
-73.135607,999,77.265023,37
70.527218,401,77.835833,38
28.807355,939,80.713518,39
-75.477617,999,81.618182,40
-75.892463,999,84.728218,41
37.643916,824,85.646997,42
34.094064,863,88.733549,43
64.880377,440,89.463883,44
55.284219,572,90.501837,45
-78.512979,999,92.328367,46
-76.588756,999,96.864761,47
36.522467,816,97.828984,48
70.347371,392,100.436804,49
-77.158674,999,101.623175,50
50.703458,619,102.3561,51
25.257814,891,105.677938,52
25.18348,920,106.527618,53
60.483852,510,106.964964,54
-80.985862,999,110.448599,55
-81.273337,999,111.710435,56
38.670465,732,114.69769,57
54.014013,553,115.181232,58
-83.499643,999,117.903378,59
37.693665,739,118.606141,60
54.416063,558,119.084808,61
39.671575,713,121.538992,62
40.58949,708,122.183068,63
40.238909,713,122.834465,64
39.707132,737,126.020812,65
26.485866,881,127.091457,66
-84.316041,999,130.127514,67
37.399493,743,130.831196,68
66.105562,397,131.175258,69
30.005455,836,131.952036,70
46.352997,631,134.276917,71
16.778414,984,135.151868,72
59.411994,478,137.358651,73
-84.634381,999,138.264027,74
56.141095,516,138.761094,75
26.048068,869,142.128915,76
71.628146,328,142.523165,77
45.703731,635,143.325447,78
60.064355,478,143.918001,79
31.075131,800,146.424979,80
50.649622,559,146.897373,81
59.823141,465,147.349191,82
71.235984,330,147.667299,83
-87.499639,999,150.37905,84
64.125696,412,150.723033,85
-86.112914,999,153.33709,86
-87.3744,999,154.308299,87
-89.156441,999,158.005475,88
71.496822,321,158.433851,89
-90.206264,999,159.561824,90
-89.701438,999,162.181427,91
35.974535,697,162.861404,92
-89.666948,999,165.58869,93
74.744,280,165.815307,94
81.407971,201,165.990679,95
52.055937,534,166.512795,96
65.15094,391,166.838053,97
27.647585,786,169.275624,98
22.524371,875,170.262737,99
69.052116,341,170.629162,100
33.474005,724,173.986175,101
-90.622359,999,175.116952,102
