r,l,t,episode
-51.41402,999,10.655829,1
-50.469504,999,13.104928,2
-48.804582,999,15.334585,3
-46.956988,999,17.991919,4
-44.445176,999,21.334901,5
-43.241873,999,23.961793,6
-42.713907,999,26.114794,7
-38.755444,999,28.235685,8
-34.190511,999,30.406036,9
-34.274076,999,32.52553,10
-33.119363,999,35.439117,11
-29.881848,999,38.651772,12
-28.85234,999,41.423389,13
-26.437313,999,43.640274,14
-25.460479,999,45.75656,15
-22.090959,999,47.983962,16
-21.323181,999,50.225927,17
-19.582149,999,53.215294,18
-20.962959,999,56.6081,19
-16.391313,999,59.282115,20
-15.381105,999,62.577515,21
-14.811515,999,65.199331,22
-14.180119,999,67.743208,23
-12.133268,999,70.683471,24
-11.894635,999,74.249985,25
-11.279833,999,76.62465,26
-10.825648,999,79.022063,27
-9.526135,999,81.974746,28
-7.718541,999,85.294858,29
-8.259091,999,90.104281,30
-7.243328,999,94.412175,31
-6.89042,999,97.764837,32
-5.856779,999,101.549789,33
-5.341655,999,105.006665,34
-4.990221,999,108.987397,35
-4.760685,999,112.466843,36
-4.459241,999,115.058586,37
-3.799856,999,117.584617,38
-3.624485,999,120.24517,39
-3.464387,999,123.131518,40
-3.218279,999,124.479471,41
-2.999027,999,127.487287,42
-2.778359,999,130.232373,43
-2.647764,999,132.408896,44
-2.355508,999,134.460663,45
-2.142414,999,136.538842,46
-2.009131,999,138.590433,47
-1.834022,999,141.224479,48
-1.684865,999,143.807997,49
-1.601129,999,147.208361,50
-1.436666,999,149.515705,51
-1.391542,999,151.621299,52
-1.342623,999,153.754584,53
-1.226632,999,155.81189,54
-1.117909,999,158.125658,55
-1.02777,999,161.321124,56
-1.036521,999,164.157129,57
-0.842842,999,166.514779,58
-0.840188,999,168.710382,59
-0.764847,999,170.987107,60
-0.719192,999,173.414021,61
-0.662028,999,175.569634,62
-0.684171,999,178.434226,63
-0.570714,999,181.472486,64
-0.475318,999,183.903221,65
-0.504729,999,186.083099,66
-0.460889,999,188.266593,67
-0.476724,999,190.62117,68
-0.461263,999,193.115232,69
-0.421027,999,196.07993,70
-0.358048,999,198.911264,71
-0.341201,999,201.105128,72
-0.345195,999,202.987667,73
-0.296361,999,204.924245,74
-0.312659,999,206.869961,75
-0.269757,999,208.768136,76
