r,l,t,episode
0,171,59.797849,1
5,410,72.671676,2
1,242,76.724784,3
1,228,331.428176,4
0,188,335.313825,5
2,263,339.313481,6
2,268,343.247331,7
1,225,346.853948,8
2,303,594.423076,9
0,172,597.917375,10
3,376,603.901992,11
2,272,860.562854,12
3,340,865.735567,13
0,178,869.487129,14
0,181,872.203851,15
2,297,1118.777252,16
1,229,1122.102983,17
0,172,1124.611721,18
3,330,1129.629838,19
2,272,1134.939581,20
2,280,1394.634386,21
2,272,1398.640412,22
2,268,1403.217034,23
4,393,1655.41065,24
2,264,1659.40697,25
1,216,1662.574324,26
2,262,1666.861647,27
3,379,1932.954473,28
2,267,1936.995194,29
1,228,1941.727225,30
2,295,2196.862633,31
2,278,2200.918526,32
2,281,2206.380519,33
3,332,2211.50063,34
2,263,2466.820529,35
2,266,2471.721282,36
3,299,2476.120395,37
2,262,2479.984507,38
1,238,2733.974748,39
2,284,2738.137226,40
3,328,2744.18329,41
2,259,3006.867929,42
3,341,3012.526519,43
5,439,3018.905959,44
4,392,3274.498436,45
4,407,3281.109562,46
3,336,3287.270496,47
0,180,3539.106095,48
0,186,3542.630862,49
3,331,3548.284177,50
2,266,3552.303364,51
1,209,3816.34059,52
3,334,3821.294144,53
2,293,3826.775074,54
0,183,3829.709058,55
4,364,4086.598402,56
2,284,4090.806795,57
3,343,4095.781334,58
6,509,4365.104371,59
1,222,4368.290688,60
1,245,4371.820058,61
4,396,4631.021227,62
0,174,4633.585307,63
6,512,4642.5545,64
5,404,4909.181431,65
2,262,4914.199415,66
2,274,4918.692735,67
3,328,5174.707864,68
3,319,5179.395607,69
2,261,5183.19461,70
6,482,5450.37704,71
3,333,5455.599012,72
2,262,5459.415501,73
5,438,5717.613669,74
4,385,5724.65366,75
3,301,5729.005656,76
0,157,5731.289398,77
2,271,5989.660871,78
2,278,5993.691771,79
4,431,6001.504566,80
4,340,6269.458678,81
3,308,6275.182045,82
2,275,6279.417372,83
2,269,6536.02334,84
3,316,6540.630616,85
4,401,6546.902424,86
3,322,6802.635319,87
6,521,6811.857161,88
4,404,6817.826854,89
1,228,7073.39084,90
2,292,7077.757264,91
3,331,7083.965146,92
5,451,7340.439775,93
3,334,7346.802826,94
5,470,7603.728654,95
5,435,7610.502731,96
4,372,7616.619167,97
4,417,7875.772979,98
4,415,7882.740668,99
3,322,7887.461736,100
4,389,8145.618089,101
4,411,8153.020592,102
13,787,8416.929723,103
5,438,8424.092316,104
4,337,8691.223334,105
2,245,8694.697601,106
5,426,8701.79703,107
4,355,8959.664459,108
5,403,8966.511029,109
6,478,9227.003535,110
4,380,9232.823123,111
4,407,9239.877322,112
8,445,9498.918291,113
7,586,9508.317885,114
3,334,9766.330437,115
6,499,9775.517458,116
4,373,10034.98051,117
4,369,10040.41766,118
4,344,10046.8363,119
3,336,10303.83402,120
2,246,10308.37776,121
3,322,10313.11455,122
2,291,10317.73851,123
5,411,10577.86083,124
0,164,10581.18965,125
1,200,10584.1927,126
5,441,10845.66342,127
4,435,10852.29154,128
3,345,10858.99286,129
3,309,11118.03819,130
4,401,11124.26334,131
6,541,11385.8579,132
2,286,11390.35867,133
4,351,11396.82594,134
2,273,11652.17823,135
4,368,11658.23263,136
3,285,11662.35336,137
3,293,11667.32077,138
3,304,11924.6109,139
8,402,11932.07091,140
5,354,11938.03355,141
7,538,12201.27367,142
4,348,12207.48249,143
2,269,12464.01917,144
1,218,12467.16683,145
5,386,12472.66638,146
11,686,12736.41727,147
4,370,12742.47309,148
5,441,13003.38524,149
2,247,13007.02325,150
5,399,13014.1899,151
6,450,13273.98579,152
3,316,13278.67617,153
5,423,13285.3955,154
5,417,13544.02038,155
5,423,13551.60113,156
6,474,13810.99374,157
6,458,13817.67456,158
4,339,14076.89951,159
1,209,14080.6308,160
5,442,14087.98667,161
4,343,14093.00654,162
6,470,14354.77225,163
4,379,14361.13207,164
3,339,14619.69336,165
3,303,14624.08394,166
6,504,14632.92283,167
9,626,14895.09728,168
3,300,14899.45284,169
4,364,15157.24539,170
5,384,15162.80919,171
4,355,15169.41885,172
5,446,15428.01239,173
1,240,15431.56734,174
3,336,15436.47215,175
1,201,15692.35701,176
9,619,15702.8131,177
6,481,15962.80815,178
7,522,15970.68638,179
3,340,16227.01225,180
5,389,16234.20065,181
2,273,16238.22312,182
2,269,16242.12342,183
5,440,16500.62012,184
7,605,16510.87487,185
4,374,16767.93051,186
10,531,16775.6056,187
4,371,17033.91829,188
7,553,17043.55077,189
6,440,17303.13704,190
5,442,17309.5161,191
5,405,17316.6214,192
3,335,17575.81551,193
6,458,17582.86891,194
7,519,17844.53865,195
7,513,17853.60788,196
3,290,18110.37182,197
6,439,18116.80588,198
4,322,18122.2823,199
6,438,18381.5136,200
8,592,18391.11684,201
8,589,18653.48866,202
2,277,18658.80279,203
5,425,18920.23014,204
2,276,18924.31404,205
4,361,18930.13595,206
9,487,19191.82225,207
8,608,19200.71696,208
5,498,19461.71317,209
3,318,19467.62354,210
6,460,19474.22555,211
4,340,19735.31353,212
3,311,19741.12309,213
4,373,19747.21014,214
7,567,20011.16852,215
8,572,20275.76844,216
3,297,20280.60964,217
7,517,20288.42283,218
3,272,20547.60333,219
6,444,20555.2435,220
8,609,20818.5565,221
6,452,20826.52066,222
9,614,21090.33885,223
6,434,21097.92102,224
6,485,21360.12155,225
9,596,21369.09016,226
6,454,21631.52664,227
4,329,21636.36085,228
4,346,21641.35062,229
4,346,21899.52085,230
6,458,21907.64118,231
4,380,21913.10986,232
7,512,22174.48068,233
6,464,22182.62659,234
6,481,22444.30095,235
5,411,22451.49071,236
5,406,22711.30242,237
3,300,22715.50573,238
6,459,22723.2373,239
6,469,22982.80578,240
5,376,22988.25024,241
5,391,23248.2926,242
5,405,23255.63635,243
4,369,23260.99861,244
9,617,23521.98609,245
7,521,23783.18207,246
10,691,23794.46387,247
11,691,24059.25139,248
5,434,24066.47688,249
5,416,24325.33178,250
4,403,24331.96147,251
6,447,24592.65715,252
5,387,24598.14528,253
3,312,24603.27405,254
4,329,24860.44808,255
7,501,24868.90744,256
7,565,25129.27362,257
3,313,25134.28731,258
4,328,25139.93757,259
3,288,25144.06565,260
4,375,25401.74298,261
4,374,25407.50714,262
6,435,25669.73457,263
2,246,25673.34574,264
4,345,25678.36017,265
6,475,25941.77297,266
6,513,25949.26119,267
6,439,26210.4173,268
2,247,26214.7994,269
8,514,26222.85531,270
