r,l,t,episode
1,242,49.307159,1
1,219,54.556265,2
0,176,57.833392,3
0,168,60.932794,4
2,293,67.581796,5
0,164,71.175194,6
0,182,74.418769,7
1,240,78.500795,8
2,298,85.37942,9
3,359,634.04042,10
2,284,639.138918,11
2,281,645.537433,12
0,188,648.82261,13
1,241,653.215907,14
1,236,658.764145,15
0,167,661.939816,16
1,218,665.633645,17
0,162,1201.239422,18
2,301,1206.261964,19
1,258,1211.55764,20
0,171,1215.001073,21
1,212,1218.652114,22
0,178,1221.550653,23
0,168,1224.588161,24
0,170,1228.826274,25
0,175,1235.760644,26
0,197,1239.290844,27
2,269,1779.938528,28
3,353,1786.749198,29
3,351,1793.272438,30
1,237,1797.32709,31
0,181,1801.079443,32
1,211,1805.778237,33
2,299,1810.902798,34
1,241,1814.847722,35
1,227,2340.41701,36
2,266,2344.858698,37
0,187,2348.13156,38
2,305,2354.368175,39
0,171,2357.947348,40
3,315,2363.025852,41
3,343,2369.349802,42
1,224,2373.823636,43
3,307,2940.237333,44
1,236,2945.489494,45
2,281,2950.436795,46
1,219,2954.000551,47
1,225,2958.295127,48
1,241,2963.169184,49
3,341,2968.841786,50
2,265,2973.821966,51
1,219,3507.230313,52
3,374,3513.645795,53
0,176,3517.604832,54
1,237,3521.851423,55
2,275,3526.346201,56
2,271,3531.619549,57
1,205,3535.885608,58
0,178,3538.855391,59
4,404,4090.41646,60
3,335,4097.838499,61
0,180,4100.836225,62
3,346,4107.371006,63
1,228,4112.642844,64
2,308,4118.06168,65
3,312,4123.82919,66
5,418,4668.739306,67
3,332,4674.592093,68
2,270,4680.624866,69
1,207,4684.046806,70
5,442,4692.944199,71
2,311,4698.928129,72
1,204,5228.566151,73
2,271,5233.032629,74
2,274,5237.583177,75
4,367,5245.049216,76
3,322,5250.418433,77
0,166,5253.298675,78
3,347,5260.48881,79
2,243,5264.438675,80
4,374,5795.324768,81
2,303,5800.194241,82
5,437,5808.97206,83
3,312,5814.086506,84
3,333,5820.647513,85
4,336,6345.742701,86
2,266,6351.131146,87
2,290,6356.596157,88
3,336,6362.004858,89
3,325,6368.995138,90
5,436,6376.004996,91
2,323,6382.321547,92
2,275,6909.019131,93
4,402,6917.439128,94
6,432,6924.574626,95
3,335,6931.692284,96
3,330,6937.135344,97
6,436,7476.709737,98
4,360,7483.548999,99
2,274,7488.204219,100
4,376,7496.418341,101
3,363,7502.562298,102
5,442,7511.989582,103
8,615,8053.511358,104
3,310,8060.219486,105
5,464,8068.12715,106
5,439,8076.9616,107
7,533,8626.565581,108
10,672,8638.128363,109
4,350,8644.841058,110
9,439,8652.054606,111
3,311,8658.663117,112
3,327,9201.833429,113
3,335,9208.663812,114
3,359,9214.55153,115
8,414,9222.947207,116
5,425,9229.812,117
3,315,9758.283741,118
4,361,9764.067356,119
2,249,9769.613432,120
7,591,9779.176051,121
6,467,9788.377058,122
3,282,9792.874579,123
3,321,10320.72288,124
2,300,10325.61211,125
10,491,10335.34459,126
3,310,10340.41464,127
3,338,10347.09021,128
5,445,10875.13797,129
6,452,10882.66807,130
5,390,10890.26726,131
4,391,10896.95182,132
3,335,10902.65534,133
3,279,10908.39113,134
5,454,11432.58065,135
6,452,11440.48451,136
6,465,11449.3239,137
2,286,11454.26674,138
4,397,11460.82186,139
3,317,11999.34287,140
7,539,12008.85377,141
5,391,12016.37693,142
4,347,12022.09958,143
2,234,12027.72884,144
4,399,12568.27677,145
3,311,12574.78112,146
3,286,12580.04761,147
4,336,12585.69634,148
6,455,12595.50936,149
4,371,12601.93041,150
3,321,13140.55957,151
6,423,13147.87687,152
7,468,13157.92346,153
6,468,13166.07233,154
5,458,13175.11507,155
6,487,13725.54773,156
6,460,13733.00185,157
3,331,13740.45822,158
4,361,13746.44486,159
3,303,13751.83062,160
4,413,14286.87721,161
2,272,14291.40867,162
7,530,14301.66088,163
6,427,14308.68025,164
2,250,14313.68762,165
5,424,14854.37886,166
5,409,14861.44391,167
5,403,14869.24922,168
3,306,14874.33884,169
6,454,14883.4226,170
6,492,15417.22883,171
9,609,15428.97087,172
5,414,15435.67702,173
9,658,15448.03585,174
5,401,15978.54762,175
7,527,15988.95158,176
5,415,15995.73512,177
4,335,16002.9398,178
6,465,16010.45125,179
3,297,16546.79567,180
3,281,16552.90922,181
4,352,16558.71632,182
8,524,16568.93626,183
3,338,16574.49176,184
6,504,17122.57959,185
4,358,17128.65337,186
8,550,17139.69151,187
3,302,17144.82079,188
7,482,17154.69295,189
4,345,17703.13928,190
5,390,17710.5397,191
4,379,17716.68808,192
7,503,17726.36613,193
3,354,17732.0192,194
4,382,17739.85912,195
4,372,18273.94211,196
4,364,18281.67915,197
5,451,18289.2318,198
6,450,18298.37221,199
9,562,18841.47357,200
3,304,18848.28046,201
5,425,18855.50909,202
7,499,18865.38651,203
5,426,18872.37938,204
7,500,19409.7102,205
4,355,19416.49472,206
8,614,19428.2407,207
6,474,19436.47278,208
7,484,19975.91979,209
6,500,19984.85187,210
5,414,19992.5911,211
6,512,20001.39113,212
9,705,20541.43079,213
8,546,20550.47023,214
6,486,20559.98819,215
4,376,20566.04266,216
5,427,21105.19264,217
3,322,21110.41796,218
6,506,21120.20789,219
3,305,21125.17782,220
5,404,21133.39884,221
4,377,21139.52901,222
8,586,21683.25145,223
7,508,21693.0861,224
6,454,21701.75578,225
6,458,21711.15539,226
4,324,22260.31677,227
11,701,22273.57401,228
9,631,22285.79522,229
8,591,22824.9992,230
6,448,22834.22705,231
5,434,22841.4506,232
5,424,22850.17452,233
11,564,22860.45086,234
2,239,23399.97323,235
7,536,23409.77533,236
4,410,23417.08999,237
9,648,23429.293,238
6,491,23969.50187,239
7,533,23980.13316,240
6,442,23987.95934,241
7,536,23998.21113,242
6,518,24541.96863,243
5,440,24549.27938,244
9,659,24561.71144,245
